människorna	684
vecka	682
åkte	681
löner	678
röstade	678
tvingas	678
massor	678
delar	677
företagen	676
hälften	672
snabbt	671
internet	670
guld	670
vidare	668
varför	666
experterna	665
storbritannien	665
natten	662
em	658
söndagen	657
extra	655
seger	654
förslaget	652
jobbet	648
loppet	645
spara	645
italien	645
dömdes	645
kallas	643
bomberna	642
bil	642
olyckan	639
partier	634
minska	632
afghanistan	630
vatten	629
anställda	627
afrika	624
bomb	624
känns	621
eus	620
undersöka	620
vanligt	618
samarbeta	617
bomben	615
borde	615
greps	614
vem	613
illa	613
möter	609
tvåa	608
militärerna	607
tusentals	607
platser	606
ändra	600
ja	599
hand	599
hårt	597
dagen	596
sälja	595
medalj	590
filmen	590
måndags	587
körde	586
oss	584
lyckades	583
eleverna	583
ledarna	581
färre	579
lars	577
vård	575
tävling	573
spanien	570
sprängde	568
chefer	566
segern	565
veta	564
hoppas	564
johan	564
pakistan	563
gaza	560
klara	556
flickan	556
soldaterna	552
iran	552
motståndare	550
undersökningen	549
lärare	546
johansson	545
ser	543
röster	542
trodde	541
berättade	539
ger	539
möte	537
vanliga	537
kräver	535
södra	534
league	534
kommuner	533
reinfeldt	533
lättare	532
bråken	531
fångar	531
förenta	531
visa	531
pojken	530
ordna	530
protesterar	526
heter	526
skolorna	526
börjat	524
snart	522
grupper	522
gång	522
rättegång	521
alliansen	521
spelas	520
kanada	520
final	517
åklagaren	516
demonstranterna	516
riksdag	516
såg	516
viktiga	516
söndags	515
ungefär	514
fattiga	514
norra	513
säkert	512
städer	511
vattnet	510
nio	509
huvudstaden	508
leder	508
sjuk	507
huvudstad	507
sommar	507
själva	506
försökte	505
samtidigt	504
lätt	504
viktigaste	501
straff	500
dödat	499
försöka	499
striderna	499
fred	498
fly	496
sämre	496
sjukdomen	495
rättegången	491
premiärminister	489
hemma	488
visade	488
tävla	488
huset	487
allvarligt	487
tjänar	487
peter	486
varandra	485
lön	484
linköping	483
ishockey	482
poäng	482
saab	481
bygga	481
användas	478
israels	476
olsson	476
damer	476
början	475
verkar	474
partiets	473
försökt	469
skador	469
gäller	469
domstol	469
folkpartiet	466
mötet	465
allsvenskan	464
mig	464
hålla	463
hittills	462
skola	462
rösterna	462
invandrare	461
kommunerna	461
pratade	461
eget	460
ganska	460
försöker	460
strider	460
världscupen	460
onsdag	458
tvinga	458
nordkorea	456
slutet	455
tisdag	454
ovanligt	454
gillar	453
hjälper	452
beror	452
exempel	452
låg	452
hårda	452
palestinska	451
enda	448
står	447
obama	447
betyg	446
havet	445
organisationen	444
tänker	444
händer	444
hårdare	443
lördags	442
höll	442
skicka	441
landslaget	441
kväll	440
egypten	440
hamas	439
presidenten	439
brasilien	439
flygplan	438
jan	438
centerpartiet	438
lagar	437
förut	436
tåg	436
tyckte	436
champions	434
ryska	433
bo	431
förbjudet	429
brukar	429
kunnat	428
dagarna	427
reda	427
svårare	427
läkare	425
kända	425
makt	424
välja	423
per	423
målet	423
torsdag	422
skadad	422
väljare	421
minuter	419
tisdags	419
flest	418
föräldrar	418
umeå	418
allra	417
fredag	417
åker	417
lovar	417
lovat	416
fantastiskt	416
skjuta	416
tv	416
göran	414
larsson	412
kristdemokraterna	412
flyktingarna	411
höst	409
maj	409
kvinnorna	408
trea	408
liv	408
tillräckligt	408
mord	407
glad	407
skrev	407
berättar	406
cheferna	406
kalla	406
utsläppen	405
skott	404
alls	404
demonstranter	404
våldet	403
undersökt	403
person	403
anja	402
medlemmar	402
timmar	402
gammal	401
tvingats	401
nationerna	400
mitt	396
lördag	396
henrik	395
andersson	395
dålig	394
branden	394
jonas	394
hos	394
små	393
thailand	392
hitta	392
tränare	391
ihjäl	391
heller	390
månaden	390
köra	389
trots	389
skrivit	388
pris	388
rättigheter	388
tvingades	388
muslimer	387
känt	387
ute	386
sekunder	386
protesterade	385
krisen	385
utrikesminister	384
planet	384
islamiska	383
månad	382
onsdags	382
områden	381
använder	380
thomas	379
farliga	378
arbete	378
miljon	378
europeiska	377
persson	377
större	377
juni	377
eld	377
problemen	375
stod	375
forskarna	375
vissa	375
viktig	374
nöjd	371
tolv	370
kommunen	370
sänka	369
spelarna	368
forskare	368
protesterna	368
hittat	367
flytta	366
semifinalen	366
mästare	366
miljön	366
rad	364
spelat	363
tal	363
dömts	363
socialdemokraternas	363
behövs	362
döms	362
gatorna	362
tag	362
indien	361
bestämmer	361
dåliga	361
svensken	360
risk	360
is	360
klubben	357
schweiz	357
klockan	355
japan	355
bråket	354
mars	354
runt	353
ordförande	352
höja	351
eftersom	349
måndag	349
flytt	348
sa	348
förlorat	348
oavgjort	347
maria	347
ihop	347
semifinal	346
berätta	346
burma	346
precis	345
fns	345
känd	345
djurgården	344
resa	344
lovade	344
död	344
utländska	343
idag	343
lång	343
eu-länderna	343
utbildning	343
demokrati	342
arbetslösa	342
erik	342
fall	341
sjukhuset	341
mordet	340
hittades	340
olagligt	339
äta	339
betalar	339
björklund	337
stänga	337
brinna	336
domen	336
ledde	336
kilometer	336
lägenhet	334
hända	334
ekonomi	334
farligt	333
nilsson	333
iraks	332
gripits	332
rasade	331
finnas	331
totalt	330
tillstånd	330
journalister	330
charlotte	330
satsa	329
snabbare	329
styra	329
helgens	328
kommun	328
aik	327
särskilt	327
äldre	327
portugal	327
jorden	327
skydda	327
daniel	326
nigeria	325
film	325
franska	325
medaljer	324
värsta	324
fjärde	324
elva	324
muslimska	324
svåra	323
frågor	323
fråga	323
listan	322
känner	322
österrike	321
rebeller	321
högsta	320
ställen	320
lopp	319
gränsen	319
alltid	319
cup	318
bush	318
familj	318
söndag	317
års	317
högre	316
stoppas	316
talibanerna	316
östra	316
rekord	315
saudiarabien	315
fungerar	315
läsa	314
tjäna	314
annars	314
tjeckien	314
attacken	314
protesterat	313
dess	313
bilen	312
new	311
grund	311
framtiden	311
unionen	311
ifrån	311
skåne	311
dagbladet	310
värre	310
januari	309
hittade	309
misstänks	308
vägar	308
förlora	308
vänta	307
läkarna	306
kastade	306
polis	305
hotade	305
kostar	305
billigare	304
pojke	304
december	303
par	303
matcherna	303
satte	303
våldsamma	303
höga	302
förlorar	302
chansen	302
fredags	301
förre	301
skadats	300
spel	300
politiska	300
försvaret	300
kritik	300
palestinierna	299
dö	299
start	299
säkra	299
marken	298
kyrkan	298
vår	298
england	298
barack	298
närmaste	297
kärnvapen	297
anföll	297
mediciner	297
sas	297
martin	296
libanon	296
ökat	295
homosexuella	295
stöd	295
torsdags	294
lära	294
carl	294
borgerliga	293
fuskat	293
egen	293
inför	292
långt	292
london	292
femtio	291
tjugo	291
nyhetsbyrån	291
juli	291
arbetade	290
bagdad	290
satt	290
bollen	290
dör	289
hjälpt	289
vägen	289
planerat	289
plötsligt	288
alltså	288
böter	288
åkesson	287
startade	286
gav	286
musik	286
olja	286
björn	285
råd	285
sommaren	285
gälla	285
säljer	284
flicka	284
område	284
fri	284
risken	284
rapport	284
marcus	283
sitter	283
april	283
leva	282
september	282
vilken	281
somras	281
demonstrerade	281
sådana	281
låna	281
sett	280
stoppade	280
filmer	279
försvann	279
protestera	279
lyckats	278
delen	278
myndigheterna	277
skellefteå	276
norska	275
dags	274
silver	274
attackerade	274
skydd	273
hård	272
flickor	272
uppsala	272
gett	271
varnar	271
färjestad	271
ekonomiska	271
priserna	271
guldet	270
fredagen	270
plan	270
undan	270
serien	270
fångarna	269
tvingade	269
ibrahimovic	268
damernas	267
lönerna	266
palestinier	266
vuxna	266
syriens	266
arg	265
mikael	265
låta	265
halv	265
tingsrätten	264
spännande	264
svt	264
sättet	263
möta	263
oskyldiga	263
svensson	263
mänskliga	263
island	263
